datum;locatie;eenheid;parameterid;afronding;analyse;compartiment;veldapparaat;grootheid;confertaxon;biotaxonnaam;parameter;eenheidequivalent;eenheidreferentie;parameterfractie;gedrag;lengteklasse;levensstadium;levensvorm;verschijningsvorm;geslacht;waardebewerkingsmethode;analyseprotocol;bemonsteringsprotocol;analist;monsterident;bemonsteringssoort;planvanaanpak;externereferentie;xcoormonster;ycoormonster;monsternemer;bron;kwaliteitsoordeel;opmerkingmeting;meetwaarde;limietsymbool
2020-03-10 11:07:00;PMW077;oC;T_oC;Nee;;OW;;T;;;T;;;;;;;;;;MET;V1070;;WP;WP580303;SB;;580303;135186;462296;WP;FC20200322210202_580303.txt;0;;8.3;
2020-03-10 11:07:00;PMW077;m;ZICHT_m;Ja;AKG;OW;;ZICHT;;;ZICHT;;;;;;;;;;MET;V1090;;WP;WP580303;SB;;580303;135186;462296;WP;FC20200322210202_580303.txt;0;;0.5;>
2020-03-10 11:07:00;PMW077;m;ZICHT_m;Nee;AKG;OW;;ZICHT;;;ZICHT;;;;;;;;;;MET;V1090;;WP;WP580303;SB;;580303;135186;462296;WP;FC20200322210202_580303.txt;0;;0.5;>
2020-03-10 11:07:00;PMW077;ug/l;CHLFa_ug/l_groenalg;Ja;FPA;OW;;CONCTTE;;;CHLFa;;;groenalg;;;;;;;MET;A3220;;WP;WP580303;SB;;580303;135186;462296;WP;FC20200322210202_580303.txt;0;;8.5;
2020-03-10 11:07:00;PMW077;ug/l;CHLFa_ug/l_groenalg;Nee;FPA;OW;;CONCTTE;;;CHLFa;;;groenalg;;;;;;;MET;A3220;;WP;WP580303;SB;;580303;135186;462296;WP;FC20200322210202_580303.txt;0;;8.5;
2020-03-10 11:07:00;PMW077;ug/l;CHLFa_ug/l_cryptofy;Ja;FPA;OW;;CONCTTE;;;CHLFa;;;cryptofy;;;;;;;MET;A3220;;WP;WP580303;SB;;580303;135186;462296;WP;FC20200322210202_580303.txt;0;;0.5;<
2020-03-10 11:07:00;PMW077;ug/l;CHLFa_ug/l_cryptofy;Nee;FPA;OW;;CONCTTE;;;CHLFa;;;cryptofy;;;;;;;MET;A3220;;WP;WP580303;SB;;580303;135186;462296;WP;FC20200322210202_580303.txt;0;;0.4;<
2020-03-10 11:07:00;PMW077;ug/l;CHLFa_ug/l_diatomee;Ja;FPA;OW;;CONCTTE;;;CHLFa;;;diatomee;;;;;;;MET;A3220;;WP;WP580303;SB;;580303;135186;462296;WP;FC20200322210202_580303.txt;0;;9.5;
2020-03-10 11:07:00;PMW077;ug/l;CHLFa_ug/l_diatomee;Nee;FPA;OW;;CONCTTE;;;CHLFa;;;diatomee;;;;;;;MET;A3220;;WP;WP580303;SB;;580303;135186;462296;WP;FC20200322210202_580303.txt;0;;9.5;
2020-03-10 11:07:00;PMW077;ug/l;CHLFa_ug/l_blauwalg;Ja;FPA;OW;;CONCTTE;;;CHLFa;;;blauwalg;;;;;;;MET;A3220;;WP;WP580303;SB;;580303;135186;462296;WP;FC20200322210202_580303.txt;0;;0.5;<
2020-03-10 11:07:00;PMW077;ug/l;CHLFa_ug/l_blauwalg;Nee;FPA;OW;;CONCTTE;;;CHLFa;;;blauwalg;;;;;;;MET;A3220;;WP;WP580303;SB;;580303;135186;462296;WP;FC20200322210202_580303.txt;0;;0;<
2020-03-10 11:07:00;PMW077;DIMSLS;pH;Ja;;OW;;pH;;;pH;;;;;;;;;;MET;V1060;;WP;WP580303;SB;;580303;135186;462296;WP;FC20200322210202_580303.txt;0;Resultaat mogelijk gestoord door het zoutgehalte. Resultaat indicatief.;7.7;
2020-03-10 11:07:00;PMW077;DIMSLS;pH;Nee;;OW;;pH;;;pH;;;;;;;;;;MET;V1060;;WP;WP580303;SB;;580303;135186;462296;WP;FC20200322210202_580303.txt;0;Resultaat mogelijk gestoord door het zoutgehalte. Resultaat indicatief.;7.7;
2020-03-10 11:07:00;PMW077;mm3/l;FPA_mm3/l;Ja;FPA;OW;;VOLME;;;;;;;;;;;;;MET;A3220;;WP;WP580303;SB;;580303;135186;462296;WP;FC20200322210202_580303.txt;0;;0.1;<
2020-03-10 11:07:00;PMW077;mm3/l;FPA_mm3/l;Nee;FPA;OW;;VOLME;;;;;;;;;;;;;MET;A3220;;WP;WP580303;SB;;580303;135186;462296;WP;FC20200322210202_580303.txt;0;;0;<
2020-03-10 11:07:00;PMW077;ug/l;FEOa_ug/l;Ja;FPA;OW;;CONCTTE;;;FEOa;;;;;;;;;;MET;A3020;;WP;WP580303;SB;;580303;135186;462296;WP;FC20200322210202_580303.txt;0;;5;<
2020-03-10 11:07:00;PMW077;ug/l;FEOa_ug/l;Nee;FPA;OW;;CONCTTE;;;FEOa;;;;;;;;;;MET;A3020;;WP;WP580303;SB;;580303;135186;462296;WP;FC20200322210202_580303.txt;0;;2.4;<
2020-03-10 11:07:00;PMW077;DIMSLS;E_L450-610nm;Ja;;OW;;E;;;E;;;L450-610nm;;;;;;;MET;A3220;;WP;WP580303;SB;;580303;135186;462296;WP;FC20200322210202_580303.txt;0;;6.5;
2020-03-10 11:07:00;PMW077;DIMSLS;E_L450-610nm;Nee;;OW;;E;;;E;;;L450-610nm;;;;;;;MET;A3220;;WP;WP580303;SB;;580303;135186;462296;WP;FC20200322210202_580303.txt;0;;6.5;
2020-03-10 11:07:00;PMW077;ug/l;CHLFa_ug/l_spectro;Ja;FPA;OW;;CONCTTE;;;CHLFa;;;;;;;;;;MET;A3020;;WP;WP580303;SB;;580303;135186;462296;WP;FC20200322210202_580303.txt;0;;6;
2020-03-10 11:07:00;PMW077;ug/l;CHLFa_ug/l_spectro;Nee;FPA;OW;;CONCTTE;;;CHLFa;;;;;;;;;;MET;A3020;;WP;WP580303;SB;;580303;135186;462296;WP;FC20200322210202_580303.txt;0;;6.01;
